page_number,item_number,onderdeel,materiaal,lengte,breedte,dikte,l1,l2,b1,b2,pro_methode,opmerkingen,source_line,is_te_bestellen
13,2,BB_02,MDF 31mm AFQMxB,2641.5,396,31,"Reichenbach
er","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,,"2 BB_02 MDF 31mm AFQMxB 2641.5 396 31 Reichenbach
er Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm  Achteraf afsjangen, B=20mm overmaat",False
13,AFWZ_R,MDF 19mm AFQMxB,569,396,19,Standaard,,,,,,,"AFWZ_R MDF 19mm AFQMxB 569 396 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm",False
13,0,LZ,"FineerPlaat AFQMxB
19mm Int bloom",503,469,19,"Reichenbach
er","Fineer
eik
1mm",,"Fineer
eik
1mm","Fineer
eik
1mm",," LZ FineerPlaat AFQMxB
19mm Int bloom 503 469 19 Reichenbach
er Fineer
eik
1mm  Fineer
eik
1mm Fineer
eik
1mm ",False
13,2,OC,"FineerPlaat AFQMxB
19mm Int bloom",1000,469,19,"Reichenbach
er",,,,,,"2 OC FineerPlaat AFQMxB
19mm Int bloom 1000 469 19 Reichenbach
er     ",False
13,2,RZ,"FineerPlaat AFQMxB
19mm Int bloom",503,469,19,"Reichenbach
er",,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," RZ FineerPlaat AFQMxB
19mm Int bloom 503 469 19 Reichenbach
er  Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
13,4,BC,HSP 19mm BxB,987,446,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"4 BC HSP 19mm BxB 987 446 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
13,4,BB,MDF 19mm AFQMxB,1000,469,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," BB MDF 19mm AFQMxB 1000 469 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
13,6,LF_01,MDF 19mm AFQMxB,981,250,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"6 LF_01 MDF 19mm AFQMxB 981 250 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Borstellen",False
13,6,LF_02,MDF 19mm AFQMxB,981,250,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," LF_02 MDF 19mm AFQMxB 981 250 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
13,8,RG,MDF 5mm BxB,975,491,5,"Reichenbach
er",,,,,,"8 RG MDF 5mm BxB 975 491 5 Reichenbach
er     ",False
13,0,Glasdeur,Dummy 21mm Glasdeur,1962,375,21,Te bestellen,Dummy,Dummy,Dummy,Dummy,, Glasdeur Dummy 21mm Glasdeur 1962 375 21 Te bestellen Dummy Dummy Dummy Dummy ,True
13,2,BB_02,MDF,2,02,31,,,,,,,"2 BB_02 MDF 31mm AFQMxB 2641.5 396 31 eik eik eik Achteraf afsjangen, B=20mm overmaat",False
13,1,AFWZ_R,MDF,1,19,569,,,,,Standaard,,1 AFWZ_R MDF 19mm AFQMxB 569 396 19 Standaard eik eik eik eik L+B=20mm overmaat,False
13,1,LZ,,1,503,469,,,,,,,1 LZ 503 469 19 eik eik eik Borstellen,False
13,2,OC,,2,1000,469,,,,,,,2 OC 1000 469 19,False
